TOKEN_COUNT,VERB_COUNT,UPPERCASE_LETTER_COUNT,SPECIFICITY_OCCURRENCE,nlr-no-var,range,NON_ALPHA_SPACE_COUNT,SUPPORT_NUMBER_OF_PAIRS_LEARNED_FROM,maxlearnedfrom,generalized,LEVENSHTEIN,pos,NNP_COUNT,nlr-var,TF_IDF_IDF,GOOD_PLACE_DOMAIN,CHARACTER_COUNT,TF_IDF_TFIDF,nlr-gen,TYPICITY_SENTENCES,TYPICITY_CORRECT_DOMAIN_NUMBER,DIGIT_COUNT,SPECIFICITY,boa-score,POS_REGEX_2,POS_REGEX_1,SINGLE_NOUN,learnedfrom,uri,SUPPORT_NUMBER_OF_MAX_PAIRS_LEARNED_FROM,TOTAL_OCCURRENCE,TYPICITY_CORRECT_RANGE_NUMBER,REVERB,TF_IDF_TF,GOOD_PLACE_RANGE,domain,POS_REGEX_3,WORDNET_DISTANCE,AVERAGE_TOKEN_LENGHT,TYPICITY,POSSESSIVE
3.0,1.0,0.0,6.0,", based in",http://dbpedia.org/ontology/Organisation,1.0,1.5849625007211563,2,,0.19999998807907104,", VBN IN",0.0,"?D? , based in ?R?",0.6931471805599453,0.0,10.0,7.203396803117662,"?D? , based in ?R?",4.605170185988092,0.36363636363636365,0.0,0.7369655941662062,0.0,0.0,0.0,0.0,2,http://dbpedia.org/ontology/foundationPlace,1.5849625007211563,9.473857817428666,0.1919191919191919,0.0,10.392304845413264,0.0,http://dbpedia.org/ontology/City,0.0,0.3213908941170276,2.6666666666666665,1.2792139405522478,0.0
5.0,1.0,4.0,2.0,-LRB- born 1 July 1974,http://dbpedia.org/ontology/Organisation,7.0,1.0,2,,0.19999998807907104,-LRB- VBN CD NNP CD,1.0,?D? -LRB- born 1 July 1974 ?R?,3.1780538303479458,0.0,22.0,1278.0602423006314,?D? -LRB- born _NUMBER_ _NE_ _YEAR_ ?R?,2.0794415416798357,0.0,5.0,2.321928094887362,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/foundationPlace,1.5849625007211563,2.0794415416798357,0.0,0.0,402.15185472824555,0.0,http://dbpedia.org/ontology/City,0.0,0.2497586515707848,3.6,0.0,0.0
5.0,1.0,4.0,1.0,-LRB- born 26 May 1982,http://dbpedia.org/ontology/Organisation,8.0,1.0,1,,0.19999998807907104,-LRB- VBN CD NNP CD,1.0,?D? -LRB- born 26 May 1982 ?R?,2.772588722239781,0.0,22.0,655.7712499573821,?D? -LRB- born _NUMBER_ _NE_ _YEAR_ ?R?,2.3978952727983707,0.0,6.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/foundationPlace,1.0,2.3978952727983707,0.5,0.0,236.51948256776802,0.0,http://dbpedia.org/ontology/City,0.0,0.2497586515707848,3.6,0.5994738181995927,0.0
2.0,2.0,0.0,1199.0,was born,http://dbpedia.org/ontology/Organisation,0.0,3.0,2,,0.19999998807907104,VBD VBN,0.0,?D? was born ?R?,0.6931471805599453,0.0,8.0,99.59876193190908,?D? _BE_ born ?R?,4.61512051684126,0.05,0.0,0.0,0.0,0.0,0.0,0.0,7,http://dbpedia.org/ontology/foundationPlace,1.5849625007211563,12.778280251301778,0.05,0.0,143.69063991784571,0.0,http://dbpedia.org/ontology/City,0.0,0.2497586515707848,3.5,0.230756025842063,0.0
3.0,0.0,0.0,2.0,"Field , home",http://dbpedia.org/ontology/Organisation,1.0,1.0,2,,0.19999998807907104,"NNP , NN",1.0,"?D? Field , home ?R?",2.1972245773362196,0.0,12.0,30.548157218514202,"?D? _NE_ , home ?R?",4.584967478670572,0.4536082474226804,0.0,2.321928094887362,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/foundationPlace,1.5849625007211563,4.976733742420574,0.8041237113402062,0.0,13.903065500727703,0.0,http://dbpedia.org/ontology/City,0.0,0.2420103591623084,3.3333333333333335,2.8833300639062363,0.0
3.0,0.0,0.0,3.0,"Park , home",http://dbpedia.org/ontology/Organisation,1.0,1.0,3,,0.19999998807907104,"NNP , NN",1.0,"?D? Park , home ?R?",1.791759469228055,0.0,11.0,36.05119196995923,"?D? _NE_ , home ?R?",4.605170185988092,0.6363636363636364,0.0,1.7369655941662063,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/foundationPlace,2.0,5.69035945432406,0.797979797979798,0.0,20.12055333827324,0.0,http://dbpedia.org/ontology/City,0.0,0.3993046194530191,3.0,3.302697810153076,0.0
1.0,0.0,0.0,159.0,between,http://dbpedia.org/ontology/Organisation,0.0,1.5849625007211563,2,,0.1428571343421936,IN,0.0,?D? between ?R?,1.0986122886681098,0.0,7.0,14.069101946224693,?D? between ?R?,4.59511985013459,0.05102040816326531,0.0,0.0,0.0,0.0,0.0,0.0,2,http://dbpedia.org/ontology/foundationPlace,1.5849625007211563,14.041452589876384,0.07142857142857142,0.0,12.806248474865697,0.0,http://dbpedia.org/ontology/City,0.0,0.0,7.0,0.2813338683755871,0.0
3.0,0.0,1.0,4.0,"between Peshawar ,",http://dbpedia.org/ontology/Organisation,1.0,1.0,4,,0.1428571343421936,"IN NNP ,",1.0,"?D? between Peshawar , ?R?",2.4849066497880004,0.0,18.0,35.33652067939249,?D? between _NE_ ?R?,1.0986122886681098,0.0,0.0,1.3219280948873624,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/foundationPlace,2.321928094887362,1.791759469228055,0.0,0.0,14.220462037238793,0.0,http://dbpedia.org/ontology/City,0.0,0.31309472841648545,5.333333333333333,0.0,0.0
3.0,0.0,1.0,1.0,between Rotherham and,http://dbpedia.org/ontology/Organisation,0.0,1.0,1,,0.1428571343421936,IN NNP CC,1.0,?D? between Rotherham and ?R?,2.4849066497880004,0.0,21.0,36.792145293607206,?D? between _NE_ ?R?,2.70805020110221,0.35714285714285715,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/foundationPlace,1.0,2.833213344056216,0.42857142857142855,0.0,14.806248474865697,0.0,http://dbpedia.org/ontology/City,0.0,0.0,6.333333333333333,1.0638768647187253,0.0
3.0,0.0,0.0,5.0,department store in,http://dbpedia.org/ontology/Organisation,0.0,2.0,2,,0.19999998807907104,NN NN IN,0.0,?D? department store in ?R?,1.791759469228055,0.0,19.0,11.32835102613845,?D? department store in ?R?,4.605170185988092,0.21212121212121213,0.0,1.0,0.0,0.0,0.0,0.0,3,http://dbpedia.org/ontology/foundationPlace,1.5849625007211563,6.860663671448287,0.050505050505050504,0.0,6.322473088990595,0.0,http://dbpedia.org/ontology/City,0.0,0.41620250237938916,5.666666666666667,0.6047193173519717,0.0
2.0,1.0,0.0,32.0,relocated to,http://dbpedia.org/ontology/Organisation,0.0,1.5849625007211563,2,relocated to,0.3333333134651184,VBD TO,0.0,?D? relocated to ?R?,1.0986122886681098,0.0,12.0,2.1972245773362196,?D? relocated to ?R?,4.564348191467836,0.031578947368421054,0.0,0.0,0.0,0.0,0.0,0.0,2,http://dbpedia.org/ontology/foundationPlace,1.5849625007211563,9.970491781316602,0.06315789473684211,0.7229451863214256,2.0,0.0,http://dbpedia.org/ontology/City,0.0,0.0,5.5,0.21620596696426592,0.0
2.0,2.0,0.0,13.0,was renamed,http://dbpedia.org/ontology/Organisation,0.0,2.0,3,was renamed,0.2857142686843872,VBD VBN,0.0,?R? was renamed ?D?,1.0986122886681098,0.0,11.0,3.4741170976416185,?R? _BE_ renamed ?D?,4.605170185988092,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,3,http://dbpedia.org/ontology/foundationPlace,2.0,10.758115624018176,0.12121212121212122,0.46311137969174504,3.1622776601683795,0.0,http://dbpedia.org/ontology/City,0.0,0.0,5.0,0.6977530584830443,0.0
3.0,0.0,2.0,1.0,Bulls owner John,http://dbpedia.org/ontology/Organisation,0.0,1.0,1,,0.19999998807907104,NNPS NN NNP,2.0,?R? Bulls owner John ?D?,2.890371757896165,0.0,16.0,91.30877253982203,?R? _NE_ owner _NE_ ?D?,1.0986122886681098,0.0,0.0,3.3219280948873626,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/foundationPlace,1.0,1.0986122886681098,0.5,0.0,31.590667287132497,0.0,http://dbpedia.org/ontology/City,0.0,0.28243658613361,4.666666666666667,0.27465307216702745,0.0
3.0,0.0,2.0,3.0,Oilers owner Daryl,http://dbpedia.org/ontology/Organisation,0.0,1.0,3,,0.19999998807907104,NNP NN NNP,2.0,?R? Oilers owner Daryl ?D?,3.58351893845611,0.0,18.0,47.689359165135926,?R? _NE_ owner _NE_ ?D?,1.6094379124341003,0.25,0.0,1.7369655941662063,0.0,0.0,0.0,0.0,1,http://dbpedia.org/ontology/foundationPlace,2.0,1.6094379124341003,0.25,0.0,13.307969061740739,0.0,http://dbpedia.org/ontology/City,0.0,0.28243658613361,5.333333333333333,0.40235947810852507,0.0
1.0,1.0,0.0,8.0,based,http://dbpedia.org/ontology/Organisation,0.0,2.807354922057604,2,,0.19999998807907104,VBN,0.0,?R? based ?D?,0.6931471805599453,0.0,5.0,7.203396803117662,?R? based ?D?,4.61512051684126,0.29,0.0,0.32192809488736235,0.0,0.0,0.0,0.0,6,http://dbpedia.org/ontology/foundationPlace,1.5849625007211563,13.235854549509638,0.19,0.0,10.392304845413264,0.0,http://dbpedia.org/ontology/City,0.0,0.3213908941170276,5.0,1.1076289240419024,0.0
2.0,0.0,0.0,36.0,law firm,http://dbpedia.org/ontology/Organisation,0.0,2.321928094887362,2,,0.3999999761581421,NN NN,0.0,?R? law firm ?D?,2.1972245773362196,0.0,8.0,40.188991102720315,?R? law firm ?D?,4.61512051684126,0.08,0.0,0.0,0.0,0.0,0.0,0.0,4,http://dbpedia.org/ontology/foundationPlace,1.5849625007211563,9.19207456316929,0.17,0.0,18.290798090126493,0.0,http://dbpedia.org/ontology/City,0.0,0.0,3.5,0.5768900646051575,0.0
